date,pricePerSquareMeter,price,size,floor,numberOfRooms,location,address,type 
28 jan 2016,78 571 kr/m²,3 850 000 kr,49 m²,3 tr,2 rum,Vasastan,Roslagsgatan 54A,Lägenhet
28 jan 2016,98 171 kr/m²,4 025 000 kr,41 m²,2 tr,2 rum,Norrmalm Vasastan,Sveavägen 138,Lägenhet
28 jan 2016,104 962 kr/m²,4 125 000 kr,39 m²,1 tr,2 rum,Vasastan,Kungstensgatan 56,Lägenhet
28 jan 2016,91 262 kr/m²,9 400 000 kr,103 m²,2 tr,4 rum,Vasastan,Västmannagatan 99,Lägenhet
28 jan 2016,88 679 kr/m²,9 400 000 kr,106 m²,3½ tr,3 rum,Vasastan,Dalagatan 84,Lägenhet
28 jan 2016,87 500 kr/m²,7 175 000 kr,82 m²,1½ tr,3 rum,Östermalm,Birger Jarlsgatan 113B,Lägenhet
28 jan 2016,73 763 kr/m²,6 860 000 kr,93 m²,2 tr,4 rum,Vasastan,Norra Stationsgatan 95A,Lägenhet
28 jan 2016,79 717 kr/m²,8 450 000 kr,106 m²,3 tr,4 rum,Vasastan,Kungstensgatan 28D,Lägenhet
28 jan 2016,86 538 kr/m²,3 375 000 kr,39 m²,1 tr,1 rum,Vasastan,Rödabergsgatan 7,Lägenhet
28 jan 2016,80 282 kr/m²,5 700 000 kr,71 m²,2 tr,2 rum,Vasastan,Bråvallagatan 9,Lägenhet
28 jan 2016,80 769 kr/m²,10 500 000 kr,130 m²,1 tr,4 rum,Vasastan,Dalagatan 78A,Lägenhet
27 jan 2016,93 299 kr/m²,9 050 000 kr,97 m²,4 tr,3½ rum,Vasastan,Rådmansgatan 39B,Lägenhet
27 jan 2016,94 603 kr/m²,2 980 000 kr,32 m²,3 tr,1 rum,Vasastan,Vanadisvägen 31B,Lägenhet
27 jan 2016,75 812 kr/m²,4 200 000 kr,55 m²,4 tr,2 rum,Vasastan,Roslagsgatan 28,Lägenhet
27 jan 2016,96 613 kr/m²,2 995 000 kr,31 m²,3 tr,1 rum,Östermalm,Birger Jarlsgatan 104B,Lägenhet
27 jan 2016,82 353 kr/m²,5 600 000 kr,68 m²,4 tr,2 rum,Vasastan,Tulegatan 49,Lägenhet
27 jan 2016,76 970 kr/m²,7 620 000 kr,99 m²,1 tr,3 rum,Vasastan,Karlbergsvägen 48,Lägenhet
27 jan 2016,94 565 kr/m²,4 350 000 kr,46 m²,3 tr,2 rum,Vasastan,Gävlegatan 3,Lägenhet
26 jan 2016,87 500 kr/m²,6 650 000 kr,76 m²,2 tr,3 rum,Vasastan,Falugatan 9,Lägenhet
23 jan 2016,91 981 kr/m²,9 750 000 kr,106 m²,1 tr,4 rum,Vasastan-Norrmalm,Västmannagatan 28,Lägenhet
23 jan 2016,101 818 kr/m²,2 800 000 kr,28 m²,1 tr,1 rum,Vasastan,Upplandsgatan 32,Lägenhet
23 jan 2016,100 000 kr/m²,3 800 000 kr,38 m²,3 tr,1½ rum,Vasastan,Dannemoragatan 14,Lägenhet
23 jan 2016,102 804 kr/m²,3 300 000 kr,32 m²,6 tr,2 rum,Vasastan,Döbelnsgatan 52,Lägenhet
23 jan 2016,114 286 kr/m²,4 000 000 kr,35 m²,3 tr,1 rum,Vasastan,Birkagatan 17,Lägenhet
22 jan 2016,86 441 kr/m²,5 100 000 kr,59 m²,1 tr,2 rum,Vasastan,Markvardsgatan 4,Lägenhet
22 jan 2016,92 241 kr/m²,5 350 000 kr,58 m²,2 tr,2 rum,Vasastan,Döbelnsgatan 57,Lägenhet
22 jan 2016,80 952 kr/m²,3 400 000 kr,42 m²,5 tr,1 rum,Östermalm,Birger Jarlsgatan 104N,Lägenhet
22 jan 2016,78 387 kr/m²,4 860 000 kr,62 m²,3 tr,2 rum,Vasastan,Lokstallsgatan 6,Lägenhet
22 jan 2016,93 968 kr/m²,5 920 000 kr,63 m²,3 tr,2 rum,Vasastan,Hälsingegatan 9A,Lägenhet
22 jan 2016,82 143 kr/m²,9 200 000 kr,112 m²,1 tr,4 rum,Vasastan,Roslagsgatan 9,Lägenhet
22 jan 2016,84 286 kr/m²,7 670 000 kr,91 m²,4 tr,3 rum,Vasastan,Döbelnsgatan 58,Lägenhet
21 jan 2016,108 621 kr/m²,3 150 000 kr,29 m²,5 tr,1 rum,Vasastan,Karlbergsvägen 57,Lägenhet
21 jan 2016,90 745 kr/m²,4 265 000 kr,47 m²,6 tr,2 rum,Vasastan,Kungstensgatan 44,Lägenhet
21 jan 2016,82 203 kr/m²,4 850 000 kr,59 m²,2 tr,2 rum,Vasastan Birkastan,Sankt Eriksgatan 72,Lägenhet
21 jan 2016,97 527 kr/m²,3 550 000 kr,36 m²,5 tr,1 rum,Vasastan,Bråvallagatan 7,Lägenhet
21 jan 2016,82 857 kr/m²,3 480 000 kr,42 m²,4 tr,2 rum,Vasastan,Sveavägen 137,Lägenhet
21 jan 2016,88 312 kr/m²,6 800 000 kr,77 m²,2 tr,2½ rum,Vasastan,Idungatan 6,Lägenhet
20 jan 2016,96 610 kr/m²,5 700 000 kr,59 m²,1 tr,2 rum,Vasastan,Tomtebogatan 21,Lägenhet
20 jan 2016,96 491 kr/m²,5 500 000 kr,57 m²,1 tr,2 rum,Vasastan,Teknologgatan 7,Lägenhet
20 jan 2016,94 366 kr/m²,6 700 000 kr,71 m²,2 tr,3 rum,Vasastan,Odengatan 102,Lägenhet
20 jan 2016,100 000 kr/m²,3 000 000 kr,30 m²,1 tr,1 rum,Birkastan,Norrbackagatan 44,Lägenhet
20 jan 2016,115 200 kr/m²,2 880 000 kr,25 m²,2 tr,1 rum,Vasastan,Sankt Eriksgatan 103,Lägenhet
19 jan 2016,108 400 kr/m²,5 420 000 kr,50 m²,4 tr,2 rum,Vasastan,Rörstrandsgatan 2A,Lägenhet
16 jan 2016,83 197 kr/m²,10 150 000 kr,122 m²,4 tr,4 rum,Vasastan,Karlbergsvägen 9,Lägenhet
15 jan 2016,92 857 kr/m²,3 900 000 kr,42 m²,1 tr,2 rum,Vasastan,Roslagsgatan 29,Lägenhet
15 jan 2016,105 882 kr/m²,9 000 000 kr,85 m²,2 tr,3 rum,Vasastan,Gästrikegatan 5,Lägenhet
15 jan 2016,75 562 kr/m²,6 725 000 kr,89 m²,3 tr,3 rum,Vasastan,Tulegatan 47,Lägenhet
15 jan 2016,136 000 kr/m²,2 720 000 kr,20 m²,4 tr,1 rum,Vasastan,Odengatan 49,Lägenhet
15 jan 2016,85 333 kr/m²,3 840 000 kr,45 m²,2 tr,2 rum,Vasastan,Idungatan 3,Lägenhet
15 jan 2016,97 414 kr/m²,5 650 000 kr,58 m²,1 tr,2 rum,Vasastan,Hälsingegatan 7A,Lägenhet
14 jan 2016,112 069 kr/m²,3 250 000 kr,29 m²,4 tr,1 rum,Vasastan,Västmannagatan 52,Lägenhet
14 jan 2016,104 096 kr/m²,4 320 000 kr,42 m²,3 tr,2 rum,Vasastan,Västmannagatan 70,Lägenhet
14 jan 2016,106 481 kr/m²,2 875 000 kr,27 m²,3 tr,1½ rum,Vasastan,Atlasgatan 7,Lägenhet
14 jan 2016,118 696 kr/m²,2 730 000 kr,23 m²,4 tr,1 rum,Vasastan,Sveavägen 122,Lägenhet
14 jan 2016,102 500 kr/m²,4 100 000 kr,40 m²,3 tr,1½ rum,Vasastan,Frejgatan 34,Lägenhet
14 jan 2016,81 754 kr/m²,4 660 000 kr,57 m²,2 tr,2 rum,Odenplan,Upplandsgatan 47,Lägenhet
14 jan 2016,94 545 kr/m²,5 200 000 kr,55 m²,4 tr,2 rum,Vasastan,Tomtebogatan 44,Lägenhet
14 jan 2016,91 489 kr/m²,4 300 000 kr,47 m²,2 tr,2 rum,Vasastan,Atlasgatan 9,Lägenhet
14 jan 2016,97 403 kr/m²,7 500 000 kr,77 m²,2 tr,3 rum,Vasastan,Tomtebogatan 36,Lägenhet
14 jan 2016,92 727 kr/m²,5 100 000 kr,55 m²,1 tr,2 rum,Vasastan,Gästrikegatan 16,Lägenhet
14 jan 2016,87 719 kr/m²,5 000 000 kr,57 m²,2 tr,2 rum,Vasastan,Dalagatan 86A,Lägenhet
13 jan 2016,87 903 kr/m²,5 450 000 kr,62 m²,1 tr,2 rum,Vasastan,Torsgatan 38,Lägenhet
13 jan 2016,87 719 kr/m²,5 000 000 kr,57 m²,1 tr,2 rum,Vasastan,Tomtebogatan 44,Lägenhet
13 jan 2016,99 107 kr/m²,5 550 000 kr,56 m²,1 tr,2 rum,Vasastan,Tomtebogatan 32,Lägenhet
13 jan 2016,83 333 kr/m²,5 500 000 kr,66 m²,4 tr,3 rum,Östermalm,Valhallavägen 12B,Lägenhet
13 jan 2016,92 308 kr/m²,7 200 000 kr,78 m²,4 tr,3 rum,Vasastan,Roslagsgatan 40A,Lägenhet
12 jan 2016,103 175 kr/m²,6 500 000 kr,63 m²,1 tr,2 rum,Birkastan Vasastan,Birkagatan 14,Lägenhet
12 jan 2016,115 185 kr/m²,3 110 000 kr,27 m²,2 tr,1 rum,Vasastan,Rehnsgatan 15,Lägenhet
12 jan 2016,97 857 kr/m²,3 425 000 kr,35 m²,1½ tr,1 rum,Vasastan,Torsgatan 73,Lägenhet
12 jan 2016,91 977 kr/m²,4 700 000 kr,51 m²,2 tr,2 rum,Vasastan,Frejgatan 6A,Lägenhet
12 jan 2016,102 564 kr/m²,4 000 000 kr,39 m²,2 tr,1 rum,Vasastan,Roslagsgatan 23A,Lägenhet
11 jan 2016,93 649 kr/m²,3 465 000 kr,37 m²,2 tr,1½ rum,Vasastan,Idungatan 7C,Lägenhet
10 jan 2016,91 176 kr/m²,7 750 000 kr,85 m²,6 tr,3 rum,Birkastan,Drejargatan 6,Lägenhet
8 jan 2016,114 167 kr/m²,2 740 000 kr,24 m²,1 tr,1 rum,Östermalm,Birger Jarlsgatan 104E,Lägenhet
26 dec 2015,99 519 kr/m²,5 175 000 kr,52 m²,1 tr,3 rum,Vasastan,Hagagatan 44B,Lägenhet
23 dec 2015,82 883 kr/m²,9 200 000 kr,111 m²,3 tr,5 rum,Vasastan,Döbelnsgatan 60,Lägenhet
23 dec 2015,121 818 kr/m²,2 680 000 kr,22 m²,3 tr,1 rum,Vasastan,Döbelnsgatan 60,Lägenhet
23 dec 2015,88 284 kr/m²,11 830 000 kr,134 m²,3 tr,6 rum,Vasastan,Döbelnsgatan 60,Lägenhet
22 dec 2015,88 462 kr/m²,4 600 000 kr,52 m²,1 tr,2 rum,Vasastan,Markvardsgatan 15,Lägenhet
18 dec 2015,79 365 kr/m²,5 000 000 kr,63 m²,2 tr,2 rum,Vasastan,Vanadisvägen 7,Lägenhet
18 dec 2015,81 818 kr/m²,4 950 000 kr,61 m²,3 tr,2 rum,Vasastan,Odengatan 31C,Lägenhet
18 dec 2015,111 475 kr/m²,2 720 000 kr,24 m²,4 tr,1 rum,Vasastan Birkastan,Norrbackagatan 5,Lägenhet
17 dec 2015,74 286 kr/m²,4 680 000 kr,63 m²,3 tr,2 rum,Vasastan,Tulegatan 46,Lägenhet
17 dec 2015,95 769 kr/m²,2 490 000 kr,26 m²,3 tr,1 rum,Vasastan,Idungatan 1B,Lägenhet
16 dec 2015,76 850 kr/m²,4 050 000 kr,53 m²,5 tr,2 rum,Vasastan,Döbelnsgatan 56,Lägenhet
16 dec 2015,105 345 kr/m²,3 055 000 kr,29 m²,5 tr,1 rum,Vasastan,Dannemoragatan 22,Lägenhet
16 dec 2015,107 576 kr/m²,3 550 000 kr,33 m²,1 tr,1 rum,Vasastan,Upplandsgatan 59,Lägenhet
16 dec 2015,81 818 kr/m²,3 600 000 kr,44 m²,1½ tr,2 rum,Vasastan,Norrtullsgatan 36,Lägenhet
15 dec 2015,112 000 kr/m²,2 800 000 kr,25 m²,5 tr,1 rum,Vasastan,Bråvallagatan 8,Lägenhet
15 dec 2015,101 415 kr/m²,5 375 000 kr,53 m²,3 tr,2 rum,Vasastan,Gästrikegatan 15,Lägenhet
15 dec 2015,87 054 kr/m²,4 875 000 kr,56 m²,6 tr,2 rum,Vasastan,Rådmansgatan 75,Lägenhet
15 dec 2015,92 800 kr/m²,4 640 000 kr,50 m²,6 tr,2 rum,Vasastan,Norrtullsgatan 63,Lägenhet
15 dec 2015,91 364 kr/m²,5 025 000 kr,55 m²,4 tr,2 rum,Vasastan,Hälsingegatan 14C,Lägenhet
12 dec 2015,78 313 kr/m²,13 000 000 kr,166 m²,4 tr,5 rum,Vasastan,Odengatan 34,Lägenhet
11 dec 2015,69 072 kr/m²,6 700 000 kr,97 m²,5 tr,3½ rum,Vasastan,Norrbackagatan 4,Lägenhet
11 dec 2015,80 488 kr/m²,3 300 000 kr,41 m²,1 tr,1½ rum,Vasastan,Vanadisvägen 4B,Lägenhet
11 dec 2015,81 064 kr/m²,3 810 000 kr,47 m²,3 tr,1 rum,Vasastan,Frejgatan 50,Lägenhet
11 dec 2015,115 385 kr/m²,3 000 000 kr,26 m²,2 tr,1 rum,Birkastan Vasastan,Rörstrandsgatan 25,Lägenhet
11 dec 2015,88 182 kr/m²,4 850 000 kr,55 m²,2 tr,2 rum,Vasastan,Frejgatan 8,Lägenhet
10 dec 2015,89 607 kr/m²,7 975 000 kr,89 m²,2 tr,3 rum,Östermalm,Odengatan 6,Lägenhet
10 dec 2015,94 253 kr/m²,4 100 000 kr,44 m²,5 tr,2 rum,Vasastan,Valentin Sabbats gata 1,Lägenhet
10 dec 2015,98 462 kr/m²,6 400 000 kr,65 m²,4 tr,2 rum,Vasastan Atlas,Atlasgatan 3,Lägenhet
10 dec 2015,85 680 kr/m²,8 825 000 kr,103 m²,5 tr,3½ rum,Vasastan,Frejgatan 55,Lägenhet
10 dec 2015,82 394 kr/m²,5 850 000 kr,71 m²,3 tr,3 rum,Vasastan,Dannemoragatan 16A,Lägenhet
10 dec 2015,101 389 kr/m²,3 650 000 kr,36 m²,2 tr,1 rum,Vasastan,Hagagatan 16A,Lägenhet
10 dec 2015,83 721 kr/m²,7 200 000 kr,86 m²,1 tr,3 rum,Vasastan,Hagagatan 46,Lägenhet
9 dec 2015,85 294 kr/m²,8 700 000 kr,102 m²,1 tr,3 rum,Vasastan,Norrtullsgatan 53,Lägenhet
9 dec 2015,85 294 kr/m²,2 900 000 kr,34 m²,2 tr,1 rum,Vasastan,Birkagatan 16C,Lägenhet
9 dec 2015,100 000 kr/m²,5 800 000 kr,58 m²,2 tr,2 rum,Vasastan,Döbelnsgatan 31,Lägenhet
9 dec 2015,88 941 kr/m²,3 780 000 kr,43 m²,1 tr,2 rum,Vasastan,Falugatan 17,Lägenhet
9 dec 2015,85 595 kr/m²,3 595 000 kr,42 m²,4 tr,2 rum,Vasastan,Sankt Eriksgatan 108,Lägenhet
9 dec 2015,90 789 kr/m²,3 450 000 kr,38 m²,4 tr,1 rum,Vasastan,Völundsgatan 11,Lägenhet
8 dec 2015,104 444 kr/m²,4 700 000 kr,45 m²,4 tr,2 rum,Vasastan,Tulegatan 35A,Lägenhet
8 dec 2015,110 870 kr/m²,10 200 000 kr,92 m²,2½ tr,3 rum,Vasastan,Odengatan 27,Lägenhet
7 dec 2015,82 609 kr/m²,5 700 000 kr,69 m²,3 tr,2 rum,Vasastan,Norrbackagatan 22,Lägenhet
7 dec 2015,70 690 kr/m²,4 100 000 kr,58 m²,1 tr,2 rum,Vasastan,Norrtullsgatan 63,Lägenhet
6 dec 2015,91 483 kr/m²,2 900 000 kr,32 m²,2 tr,1 rum,Vasastan,Döbelnsgatan 56,Lägenhet
6 dec 2015,101 500 kr/m²,10 150 000 kr,100 m²,4 tr,5 rum,Vasastan,Tomtebogatan 5,Lägenhet
5 dec 2015,90 476 kr/m²,5 700 000 kr,63 m²,1 tr,2½ rum,Birkastan Vasastan,Robert Almströmsgatan 10,Lägenhet
4 dec 2015,85 256 kr/m²,6 650 000 kr,78 m²,1 tr,3 rum,Sankt Erik,Dalagatan 68A,Lägenhet
4 dec 2015,75 843 kr/m²,6 750 000 kr,89 m²,3 tr,3 rum,Vasastan,Tulegatan 47,Lägenhet
4 dec 2015,113 810 kr/m²,2 390 000 kr,21 m²,1 tr,1 rum,Östermalm,Valhallavägen 52,Lägenhet
4 dec 2015,98 148 kr/m²,5 300 000 kr,54 m²,1 tr,2 rum,Vasastan,Sankt Eriksgatan 85A,Lägenhet
4 dec 2015,100 417 kr/m²,4 820 000 kr,48 m²,4 tr,2 rum,Vasastan,Roslagsgatan 9,Lägenhet
4 dec 2015,86 792 kr/m²,4 600 000 kr,53 m²,1 tr,2 rum,Vasastan,Karlbergsvägen 87B,Lägenhet
4 dec 2015,103 077 kr/m²,2 680 000 kr,26 m²,4 tr,1 rum,Vasastan,Vanadisvägen 2,Lägenhet
4 dec 2015,88 090 kr/m²,3 920 000 kr,45 m²,3 tr,1 rum,Vasastan Sibirien,Roslagsgatan 57,Lägenhet
4 dec 2015,81 833 kr/m²,4 910 000 kr,60 m²,1½ tr,2 rum,Vasastan,Norrtullsgatan 26,Lägenhet
3 dec 2015,91 803 kr/m²,5 600 000 kr,61 m²,1 tr,2 rum,Birkastan Vasastan,Tomtebogatan 48A,Lägenhet
3 dec 2015,97 059 kr/m²,3 300 000 kr,34 m²,3 tr,1½ rum,Vasastan,Roslagsgatan 21A,Lägenhet
3 dec 2015,100 000 kr/m²,13 000 000 kr,130 m²,5 tr,4 rum,Vasastan,Tomtebogatan 21A,Lägenhet
3 dec 2015,114 894 kr/m²,5 400 000 kr,47 m²,6 tr,2 rum,Vasastan,Tomtebogatan 23,Lägenhet
3 dec 2015,81 484 kr/m²,5 215 000 kr,64 m²,4 tr,2 rum,Centrum,Rådmansgatan 86,Lägenhet
3 dec 2015,91 429 kr/m²,3 200 000 kr,35 m²,3 tr,2 rum,Östermalm,Birger Jarlsgatan 104D,Lägenhet
3 dec 2015,80 000 kr/m²,7 920 000 kr,99 m²,4 tr,3 rum,Vasastan,Dalagatan 51,Lägenhet
2 dec 2015,98 315 kr/m²,8 750 000 kr,89 m²,5 tr,3 rum,Birkastan Vasastan,Sankt Eriksplan 17,Lägenhet
2 dec 2015,86 620 kr/m²,6 150 000 kr,71 m²,4 tr,2½ rum,Vasastan,Rörstrandsgatan 19,Lägenhet
2 dec 2015,90 556 kr/m²,3 260 000 kr,36 m²,1 tr,1 rum,Vasastan,Falugatan 19,Lägenhet
2 dec 2015,62 143 kr/m²,6 525 000 kr,105 m²,1 tr,3 rum,Vasastan,Sankt Eriksgatan 101,Lägenhet
2 dec 2015,86 735 kr/m²,4 250 000 kr,49 m²,1 tr,2 rum,Vasastan,Hälsingegatan 17,Lägenhet
2 dec 2015,73 832 kr/m²,7 900 000 kr,107 m²,1 tr,3 rum,Östermalm,Odengatan 2,Lägenhet
2 dec 2015,81 970 kr/m²,5 410 000 kr,66 m²,1 tr,2 rum,Vasastan,Roslagsgatan 41,Lägenhet
2 dec 2015,96 875 kr/m²,3 100 000 kr,32 m²,4 tr,1 rum,Vasastan,Roslagsgatan 29,Lägenhet
2 dec 2015,76 238 kr/m²,7 700 000 kr,101 m²,1 tr,3 rum,Vasastan,Torsgatan 46,Lägenhet
2 dec 2015,108 333 kr/m²,4 550 000 kr,42 m²,4 tr,2 rum,Vasastan,Frejgatan 50,Lägenhet
2 dec 2015,77 536 kr/m²,5 350 000 kr,69 m²,3 tr,2 rum,Vasastan,Roslagsgatan 41,Lägenhet
30 nov 2015,80 952 kr/m²,3 400 000 kr,42 m²,3 tr,2 rum,Vasastan,Västmannagatan 76,Lägenhet
30 nov 2015,85 417 kr/m²,6 150 000 kr,72 m²,3 tr,2 rum,Vasastan,Birkagatan 32,Lägenhet
30 nov 2015,70 896 kr/m²,4 750 000 kr,67 m²,6 tr,2½ rum,Vasastan,Norrtullsgatan 16B,Lägenhet
30 nov 2015,100 654 kr/m²,7 700 000 kr,77 m²,2 tr,3 rum,Vasastan,Teknologgatan 5,Lägenhet
28 nov 2015,104 400 kr/m²,2 610 000 kr,25 m²,3 tr,1 rum,Vasastan,Upplandsgatan 86,Lägenhet
28 nov 2015,87 342 kr/m²,6 900 000 kr,79 m²,2 tr,3 rum,Vasastan,Markvardsgatan 10,Lägenhet
28 nov 2015,83 929 kr/m²,5 875 000 kr,70 m²,5 tr,3 rum,Vasastan Centrum,Markvardsgatan 13,Lägenhet
27 nov 2015,113 043 kr/m²,10 400 000 kr,92 m²,6 tr,3 rum,Vasastan,Norrbackagatan 30,Lägenhet
27 nov 2015,81 014 kr/m²,5 590 000 kr,69 m²,4 tr,2 rum,Vasastan,Observatoriegatan 14,Lägenhet
27 nov 2015,104 776 kr/m²,7 020 000 kr,67 m²,4 tr,3 rum,Vasastan,Birger Jarlsgatan 93B,Lägenhet
27 nov 2015,92 727 kr/m²,4 080 000 kr,44 m²,3 tr,2 rum,Vasastan,Tegnérgatan 16,Lägenhet
27 nov 2015,86 203 kr/m²,6 810 000 kr,79 m²,5 tr,3 rum,Vasastan,Upplandsgatan 62,Lägenhet
26 nov 2015,99 701 kr/m²,16 650 000 kr,167 m²,2 tr,5½ rum,Östermalm,Odengatan 29,Lägenhet
26 nov 2015,86 222 kr/m²,3 880 000 kr,45 m²,6 tr,1½ rum,Vasastan,Rörstrandsgatan 60,Lägenhet
26 nov 2015,72 685 kr/m²,7 850 000 kr,108 m²,4 tr,3½ rum,Vasastan,Tre Liljor 4,Lägenhet
26 nov 2015,74 457 kr/m²,6 850 000 kr,92 m²,2 tr,4 rum,Östermalm,Valhallavägen 38,Lägenhet
26 nov 2015,111 667 kr/m²,10 050 000 kr,90 m²,3 tr,3 rum,Vasastan,Odengatan 92,Lägenhet
26 nov 2015,89 286 kr/m²,5 000 000 kr,56 m²,6 tr,2 rum,Vasastan,Norrtullsgatan 63,Lägenhet
26 nov 2015,70 400 kr/m²,8 800 000 kr,125 m²,2 tr,4 rum,Östermalm,Birger Jarlsgatan 131,Lägenhet
26 nov 2015,101 039 kr/m²,3 890 000 kr,39 m²,1 tr,2 rum,Vasastan,Döbelnsgatan 89,Lägenhet
26 nov 2015,87 222 kr/m²,3 925 000 kr,45 m²,1 tr,1½ rum,Vasastan,Frejgatan 51,Lägenhet
26 nov 2015,97 632 kr/m²,3 710 000 kr,38 m²,2 tr,1 rum,Vasastan,Odengatan 12,Lägenhet
26 nov 2015,75 472 kr/m²,12 000 000 kr,159 m²,5 tr,5 rum,Östermalm,Birger Jarlsgatan 83,Lägenhet
25 nov 2015,91 892 kr/m²,3 400 000 kr,37 m²,1½ tr,1 rum,Vasastan,Torsgatan 25,Lägenhet
25 nov 2015,94 923 kr/m²,6 170 000 kr,65 m²,1½ tr,3 rum,Vasastan,Rådmansgatan 84,Lägenhet
25 nov 2015,84 677 kr/m²,10 500 000 kr,124 m²,1 tr,5 rum,Vasastan,Karlbergsvägen 42,Lägenhet
25 nov 2015,111 842 kr/m²,4 250 000 kr,38 m²,1 tr,2 rum,Vasastan,Roslagsgatan 17A,Lägenhet
25 nov 2015,109 143 kr/m²,3 820 000 kr,35 m²,1 tr,2 rum,Uppgång,Torsgatan 42,Lägenhet
25 nov 2015,102 941 kr/m²,3 500 000 kr,34 m²,3 tr,1 rum,Birkastan Vasastan,Vikingagatan 20,Lägenhet
25 nov 2015,106 061 kr/m²,3 500 000 kr,33 m²,2½ tr,1 rum,Vasastan,Norrtullsgatan 31,Lägenhet
25 nov 2015,80 519 kr/m²,6 200 000 kr,77 m²,2 tr,2 rum,Vasastan,Frejgatan 21,Lägenhet
25 nov 2015,100 000 kr/m²,5 200 000 kr,52 m²,2 tr,2 rum,Vasastan,Tulegatan 31B,Lägenhet
24 nov 2015,104 082 kr/m²,5 100 000 kr,49 m²,5 tr,2 rum,Vasastan,Tulegatan 22,Lägenhet
23 nov 2015,72 857 kr/m²,5 100 000 kr,70 m²,2 tr,2½ rum,Vasastan,Ynglingagatan 5,Lägenhet
23 nov 2015,100 000 kr/m²,2 500 000 kr,25 m²,5 tr,1 rum,Vasastan,Bråvallagatan 8,Lägenhet
21 nov 2015,100 000 kr/m²,3 700 000 kr,37 m²,2 tr,2 rum,Vasastan,Roslagsgatan 21B,Lägenhet
20 nov 2015,94 623 kr/m²,9 150 000 kr,97 m²,2 tr,4 rum,Vasastan,Dalagatan 23,Lägenhet
20 nov 2015,87 324 kr/m²,3 100 000 kr,36 m²,1 tr,1 rum,Vasastan,Falugatan 14,Lägenhet
20 nov 2015,93 333 kr/m²,3 920 000 kr,42 m²,1 tr,2 rum,Östermalm,Frejgatan 4,Lägenhet
20 nov 2015,85 135 kr/m²,6 300 000 kr,74 m²,4 tr,3½ rum,Vasastan,Birger Jarlsgatan 107,Lägenhet
20 nov 2015,90 132 kr/m²,6 850 000 kr,76 m²,4 tr,3 rum,Vasastan,Tomtebogatan 30,Lägenhet
20 nov 2015,81 667 kr/m²,4 900 000 kr,60 m²,1 tr,2 rum,Vasastan,Vanadisvägen 7,Lägenhet
19 nov 2015,75 352 kr/m²,5 350 000 kr,71 m²,4 tr,3 rum,Vasastan,Norrbackagatan 27B,Lägenhet
19 nov 2015,102 917 kr/m²,6 175 000 kr,60 m²,3 tr,2 rum,Vasastan,Torsgatan 42C,Lägenhet
19 nov 2015,74 603 kr/m²,4 700 000 kr,63 m²,3 tr,2 rum,Vasastan,Vanadisvägen 44,Lägenhet
19 nov 2015,79 545 kr/m²,3 500 000 kr,44 m²,3 tr,2 rum,Vasastan,Torsgatan 78,Lägenhet
19 nov 2015,100 143 kr/m²,7 010 000 kr,70 m²,2 tr,3 rum,Vasastan,Surbrunnsgatan 16,Lägenhet
19 nov 2015,104 767 kr/m²,4 505 000 kr,43 m²,2 tr,2 rum,Östermalm,Surbrunnsgatan 11,Lägenhet
19 nov 2015,95 378 kr/m²,11 350 000 kr,119 m²,5 tr,5 rum,Vasastan,Tegnérlunden 6,Lägenhet
19 nov 2015,93 617 kr/m²,4 400 000 kr,47 m²,5 tr,2 rum,Vasastan,Kungstensgatan 44,Lägenhet
19 nov 2015,93 333 kr/m²,4 200 000 kr,45 m²,3 tr,2 rum,Vasastan,Eastmansvägen 11,Lägenhet
19 nov 2015,90 164 kr/m²,5 500 000 kr,61 m²,2 tr,2 rum,Vasastan Birkastan,Tomtebogatan 48A,Lägenhet
19 nov 2015,119 872 kr/m²,9 350 000 kr,78 m²,5 tr,3 rum,Vasastan,Rådmansgatan 73,Lägenhet
18 nov 2015,91 489 kr/m²,8 600 000 kr,94 m²,2 tr,3 rum,Vasastan Östermalm,Birger Jarlsgatan 100,Lägenhet
18 nov 2015,77 614 kr/m²,3 415 000 kr,44 m²,1 tr,1½ rum,Vasastan,Frejgatan 46B,Lägenhet
18 nov 2015,81 071 kr/m²,5 675 000 kr,70 m²,3 tr,2 rum,Vasastan,Torsgatan 48B,Lägenhet
18 nov 2015,81 154 kr/m²,9 495 000 kr,117 m²,2 tr,3 rum,Vasastan,Norrtullsgatan 20,Lägenhet
18 nov 2015,93 290 kr/m²,5 700 000 kr,61 m²,1 tr,2 rum,Vasastan,Västmannagatan 28A,Lägenhet
18 nov 2015,80 147 kr/m²,2 725 000 kr,34 m²,1 tr,1 rum,Vasastan,Vanadisvägen 4,Lägenhet
17 nov 2015,109 167 kr/m²,6 550 000 kr,60 m²,2 tr,2 rum,Vasastan,Tomtebogatan 49,Lägenhet
17 nov 2015,109 038 kr/m²,5 670 000 kr,52 m²,1½ tr,2 rum,Vasastan,Vegagatan 17,Lägenhet
17 nov 2015,79 545 kr/m²,5 250 000 kr,66 m²,3 tr,3 rum,Vasastan,Torbjörn Klockares gata 25,Lägenhet
14 nov 2015,83 197 kr/m²,5 075 000 kr,61 m²,1 tr,2½ rum,Vasastan,Robert Almströmsgatan 8,Lägenhet
14 nov 2015,70 930 kr/m²,6 100 000 kr,86 m²,2 tr,3 rum,Vasastan,Torbjörn Klockares gata 5,Lägenhet
