date,pricePerSquareMeter,price,size,floor,numberOfRooms,location,address,type
23 feb 2017,98 148 kr/m²,7 950 000 kr,81 m²,1 tr,3 rum,Vasastan,Upplandsgatan 46,Lägenhet
23 feb 2017,107 209 kr/m²,4 610 000 kr,43 m²,3½ tr,2 rum,Vasastan-Atlas,Vulcanusgatan 4,Lägenhet
23 feb 2017,113 939 kr/m²,3 760 000 kr,33 m²,4 tr,1 rum,Birkastan Vasastan,Tomtebogatan 35,Lägenhet
23 feb 2017,92 537 kr/m²,6 200 000 kr,67 m²,1 tr,2 rum,Vasastan,Upplandsgatan 85A,Lägenhet
23 feb 2017,187 500 kr/m²,2 250 000 kr,12 m²,1 tr,1 rum,Vasastan,Karlbergsvägen 18,Lägenhet
23 feb 2017,100 395 kr/m²,7 630 000 kr,76 m²,1½ tr,3 rum,Vasastan,Tre Liljor 2A,Lägenhet
22 feb 2017,107 353 kr/m²,3 650 000 kr,34 m²,4 tr,1 rum,Vasastan,Idungatan 10A,Lägenhet
22 feb 2017,97 368 kr/m²,11 100 000 kr,114 m²,1½ tr,4 rum,Vasastan,Luntmakargatan 81,Lägenhet
22 feb 2017,125 926 kr/m²,3 400 000 kr,27 m²,4 tr,1 rum,Vasastan,Luntmakargatan 59,Lägenhet
22 feb 2017,111 932 kr/m²,9 850 000 kr,88 m²,4 tr,3 rum,Vasastan,Gästrikegatan 18,Lägenhet
22 feb 2017,110 000 kr/m²,3 630 000 kr,33 m²,1 tr,1 rum,Vasastan,Dalagatan 74A,Lägenhet
22 feb 2017,108 602 kr/m²,5 050 000 kr,47 m²,1 tr,2 rum,Vasastan,Teknologgatan 9D,Lägenhet
22 feb 2017,85 797 kr/m²,5 920 000 kr,69 m²,1 tr,2 rum,Vasastan,Upplandsgatan 85A,Lägenhet
22 feb 2017,85 714 kr/m²,3 600 000 kr,42 m²,1 tr,1½ rum,Vasastan,Bråvallagatan 7,Lägenhet
22 feb 2017,83 582 kr/m²,5 600 000 kr,67 m²,4 tr,2 rum,Vasastan,Torbjörn Klockares gata 25,Lägenhet
22 feb 2017,121 622 kr/m²,9 000 000 kr,74 m²,5 tr,3 rum,Vasastan,Roslagsgatan 21,Lägenhet
22 feb 2017,115 385 kr/m²,3 750 000 kr,33 m²,4 tr,1½ rum,Vasastan,Torsgatan 42C,Lägenhet
22 feb 2017,98 182 kr/m²,10 800 000 kr,110 m²,2 tr,4 rum,Vasastan,Roslagsgatan 19,Lägenhet
